match_id,timestamp,home_team_id,away_team_id,home_score_total,away_score_total,home_sets_won,away_sets_won,score_diff,set_diff,home_current_score,away_current_score,set_info,game_duration,match_status,home_win_rate_last5,away_win_rate_last5,head_to_head_win_rate_home
198935,2025-06-04 10:06:02.889984,2384,2605,48,51,0,2,-3,-2,2,0,Set 1: 22-25 | Set 2: 24-26 | Set 3: 2-0,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:06:34.301303,2384,2605,47,52,0,2,-5,-2,1,1,Set 1: 22-25 | Set 2: 24-26 | Set 3: 2-1,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:07:00.032171,2384,2605,49,52,0,2,-3,-2,3,1,Set 1: 22-25 | Set 2: 24-26 | Set 3: 3-1,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:07:31.481496,2384,2605,50,52,0,2,-2,-2,4,1,Set 1: 22-25 | Set 2: 24-26 | Set 3: 4-1,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:07:57.194002,2384,2605,50,54,0,2,-4,-2,4,3,Set 1: 22-25 | Set 2: 24-26 | Set 3: 4-3,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:08:28.472975,2384,2605,50,55,0,2,-5,-2,4,4,Set 1: 22-25 | Set 2: 24-26 | Set 3: 4-4,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:09:10.649273,2384,2605,50,54,0,2,-4,-2,4,3,Set 1: 22-25 | Set 2: 24-26 | Set 3: 4-3,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:09:32.171951,2384,2605,51,54,0,2,-3,-2,5,3,Set 1: 22-25 | Set 2: 24-26 | Set 3: 5-3,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:12:59.155030,2384,2605,54,59,0,2,-5,-2,8,8,Set 1: 22-25 | Set 2: 24-26 | Set 3: 8-8,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:13:30.509562,2384,2605,55,59,0,2,-4,-2,9,8,Set 1: 22-25 | Set 2: 24-26 | Set 3: 9-8,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:13:56.265157,2384,2605,55,61,0,2,-6,-2,9,10,Set 1: 22-25 | Set 2: 24-26 | Set 3: 9-10,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:14:27.822095,2384,2605,56,61,0,2,-5,-2,10,10,Set 1: 22-25 | Set 2: 24-26 | Set 3: 10-10,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:15:04.272023,2384,2605,57,61,0,2,-4,-2,11,10,Set 1: 22-25 | Set 2: 24-26 | Set 3: 11-10,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:15:30.158999,2384,2605,57,62,0,2,-5,-2,11,11,Set 1: 22-25 | Set 2: 24-26 | Set 3: 11-11,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:15:56.013530,2384,2605,58,62,0,2,-4,-2,12,11,Set 1: 22-25 | Set 2: 24-26 | Set 3: 12-11,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:17:46.107697,2384,2605,60,62,0,2,-2,-2,14,11,Set 1: 22-25 | Set 2: 24-26 | Set 3: 14-11,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:18:11.893298,2384,2605,60,65,0,2,-5,-2,14,14,Set 1: 22-25 | Set 2: 24-26 | Set 3: 14-14,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:18:37.733417,2384,2605,60,66,0,2,-6,-2,14,15,Set 1: 22-25 | Set 2: 24-26 | Set 3: 14-15,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:19:39.985678,2384,2605,60,68,0,2,-8,-2,14,17,Set 1: 22-25 | Set 2: 24-26 | Set 3: 14-17,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:21:35.411852,2384,2605,60,69,0,2,-9,-2,14,18,Set 1: 22-25 | Set 2: 24-26 | Set 3: 14-18,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:22:01.119276,2384,2605,61,69,0,2,-8,-2,15,18,Set 1: 22-25 | Set 2: 24-26 | Set 3: 15-18,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:22:32.570032,2384,2605,60,70,0,2,-10,-2,14,19,Set 1: 22-25 | Set 2: 24-26 | Set 3: 14-19,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:24:29.115354,2384,2605,61,71,0,2,-10,-2,15,20,Set 1: 22-25 | Set 2: 24-26 | Set 3: 15-20,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:24:39.874479,2384,2605,61,72,0,2,-11,-2,15,21,Set 1: 22-25 | Set 2: 24-26 | Set 3: 15-21,150m 0s,3rd set,0.6,0.8,0.21428571428571427
198935,2025-06-04 10:25:11.279262,2384,2605,62,73,0,2,-11,-2,16,22,Set 1: 22-25 | Set 2: 24-26 | Set 3: 16-22,150m 0s,3rd set,0.6,0.8,0.21428571428571427
